id id_mer id_rel
222197 0 1
2226619 1 0
3332586 1 0
111730 0 1
3332621 0 1
4447326 0 1
111726 1 0
4447318 1 0
66633 0 1
88812 0 1
333771 0 1
2223636 0 1
333163 0 1
2222010 0 1
2225062 0 1
3331529 0 1
2225141 0 0
3331599 0 0
2226616 0 1
3332583 0 1
111748 0 0
2226701 0 0
3332674 0 0
4447342 0 0
333601 0 1
2223439 0 1
333531 0 1
8883581 0 1
333128 0 1
2221935 0 1
333770 0 1
2223635 0 1
333781 0 1
2223646 0 1
333585 0 1
2223415 0 1
2228338 0 1
3334242 0 1
2226903 0 1
22296 0 1
222362 0 1
2226849 0 1
3332808 0 1
333950 0 1
2223982 0 1
222145 0 1
33317261 0 1
33317276 0 0
3339196 0 1
3335482 0 1
5551201 0 1
7775432 0 1
8889988 0 1
66610937 0 1
3335497 0 1
7775444 0 1
3337415 0 0
3337679 0 1
22211142 0 1
3337740 0 1
22211208 0 1
3339652 0 0
22212586 0 0
22217136 1 0
33317497 1 0
3337698 0 1
22211162 0 1
222425 1 0
222437 0 0
2228288 0 1
2228289 0 1
3334183 0 1
3334184 0 1
2228442 0 1
3334330 0 1
2228477 0 1
3334362 0 1
222281 0 1
222449 0 1
33365 1 0
222298 1 0
2223708 0 0
333710 0 1
2223563 0 1
2222055 0 0
2222291 0 1
222536 0 1
555970 0 0
3333822 0 0
8888496 0 0
6667727 0 1
8886813 0 1
6662066 0 1
8881726 0 1
2228629 0 1
2228671 0 0
3334474 0 0
2228617 0 1
3334452 0 1
2229985 0 0
3336038 0 0
2229996 0 0
3336049 0 0
3336083 0 0
22210044 0 0
2228723 0 1
3334516 0 1
3335531 0 1
7775478 0 1
66610987 0 1
88810043 0 1
1119042 0 0
22223860 0 0
22224833 0 0
33334209 0 0
5558861 0 1
33332030 0 1
33340547 0 0
77741718 0 0
5558777 0 0
33331918 0 0
77732772 0 0
33326002 0 1
77726805 0 1
22219116 0 1
33322108 0 1
22223897 0 1
33332318 0 1
11112527 0 1
22226683 0 1
33337779 0 1
1115771 0 1
22220438 0 1
33324560 0 1
44421562 0 1
1115005 0 1
22219326 0 1
33322336 0 1
44420424 0 1
22217413 0 1
33317763 0 1
3336329 0 0
22210391 0 0
22214522 0 0
33312023 0 0
2221008 0 1
2221111 0 1
2221207 0 0
1113762 0 0
22217394 0 0
33317747 0 0
44418038 0 0
3338070 0 1
22211608 0 1
44412071 0 1
222667 0 0
222675 0 0
444233 0 0
2221130 0 0
22214684 1 0
44414992 1 0
77712102 1 0
4446272 0 0
2226086 0 0
4446021 0 0
777821 0 0
4444459 0 0
6664586 0 0
777216 0 1
4442784 0 1
6662686 0 1
777246 0 1
4442877 0 1
6662760 0 1
4446449 0 1
6666600 0 1
4449846 0 0
7774134 0 0
66610059 0 0
4446382 0 1
2224821 0 0
4444717 0 0
4444724 0 0
3333300 0 0
4448645 0 0
6668795 0 0
7773173 0 0
3333302 0 1
4448647 0 1
6668797 0 1
7773175 0 1
4445049 0 1
6665042 0 1
3335008 0 1
7774673 0 1
44410158 0 1
66610382 0 1
666664 0 1
4441031 0 1
3334974 1 0
7774639 1 0
44410124 1 0
66610350 1 0
4446771 0 1
6666805 0 1
7771761 0 1
3333171 0 1
4448484 0 1
6668636 0 1
7772920 0 1
333357 0 1
777428 0 1
4443749 0 1
333488 0 1
777665 0 1
6664136 0 1
