ngroup ra dec z delta ngal pval ind p_sw p_sf p_ad p_cvm p_lillie p_pearson delta_2 pval_2 color mag sph sph.dens gap gamma id_mer id_rel
111726 49.0827340665076 0.803276171832609 0.0219843259684783 2.29300613297271 92 0 3 0.8686659401977 0.940954168893868 0.897909286574089 0.881096282410783 0.874414889666998 0.929139216062509 2.21672049924707 0 0.647564504455435 14.5241107941 1.35746129510118 5 0.0895128249999999 -99 1 0
11131291 139.471275219016 14.1692760992739 0.0752112460492754 1.33014566293354 69 0.0666666666666667 5 0.00819561665202262 0.0233413577397617 0.0128638630832407 0.0298955220423931 0.134539271091837 0.345977014021409 1.38266320586762 0.0666666666666667 0.714358758237681 15.4522790909 1.87345306482951 15 0.134166717500001 -99 1 0
11133168 156.295475926891 28.0236422111241 0.0656603620344828 1.40614075966066 58 0.0333333333333333 -1 0.248484979870066 0.370950404524229 0.166217327013029 0.140182818493744 0.152071998052646 0.128232495459308 1.47123398818754 0.0333333333333333 0.710182436581034 14.8873796463 1.29908696131054 4.5 0.6485395432 -99 1 0
11139294 200.080341286853 11.6452085547219 0.0505007124657534 1.03773188165379 73 0.4 -1 0.0137416196288687 0.0318834117142395 0.0086996272217002 0.0103002269946544 0.0316363830140778 0.16384988305453 0.9982679181082 0.4 0.704930501439726 14.5962085724 1.20197271433493 2.5 0.0503578186000002 -99 1 0
11139312 200.689777721061 11.1665125760068 0.0505560911681818 1.21393283855184 44 0 6 0.132636796072847 0.276696356447422 0.194481112146223 0.21641386010865 0.35411631571492 0.648870060200015 1.17922796684679 0 0.703037738795455 14.7614631653 1.76737599586975 13 0.228805542 -99 1 0
11140048 146.170931641485 26.8914392498218 0.0587263098887324 1.50054182867553 142 0 15 0.421188876561396 0.601983261893506 0.627947898532803 0.808537752580947 0.708157436981108 0.679919335887116 1.45322387438478 0 0.682457802998591 14.9124984741 1.8605710504383 12 0.1948823929 -99 1 0
11142300 140.667465573267 39.1323204040548 0.0683522852452381 1.27290378685375 42 0.233333333333333 3 0.0992645544130792 0.10081230843746 0.0484812466530826 0.041880294833044 0.122743791930166 0.0722417348577706 1.32570460606677 0.233333333333333 0.709990978240476 14.6658735275 1.52036109963804 7 0.967334747299999 -99 1 0
11146026 221.727545794324 42.8118359060824 0.0690552353382353 1.49250303723653 34 0 4 0.274987827848504 0.410685513610879 0.324658345837519 0.31257836481794 0.394338105122142 0.397355215836206 1.22313792845837 0 0.703620181364706 15.2993783951 1.36117025904256 99999 0.390548706000001 -99 1 0
11155010 232.982742148953 3.50312966547579 0.0392281370747368 1.39968902919748 95 0.0333333333333333 -1 0.0296179162589971 0.0668543533957638 0.0474104189639179 0.0876853297159886 0.226390106395172 0.0926253116662712 1.4073792907966 0.0333333333333333 0.72399972614421 14.695145607 1.5505713345386 16 0.042541503899999 -99 1 0
11155767 149.867141977948 57.43174146017 0.0454172499516667 1.43435100816526 60 0.0333333333333333 -1 0.24646975255752 0.37559120006294 0.269575560417818 0.30989693958472 0.557004712095534 0.565658248623945 1.56639082178553 0.0333333333333333 0.740857060743333 15.1920566559 1.42323954862103 3.66666666666667 0.1878490448 -99 1 0
11157395 154.094752986261 12.9217927979268 0.0184400488243902 1.7346854153163 41 0 7 0.199820918573109 0.257178573820912 0.255161058517203 0.235711365290478 0.327114725647156 0.735840278114542 1.5553445881072 0 0.610809047048781 14.5327882767 1.34725296667576 99999 0.0475111006999995 -99 1 0
11159614 224.992162192729 13.6203149237317 0.0190603414585366 0.885054664711031 41 0.666666666666667 -1 0.239212329472945 0.396400366261884 0.308133981298417 0.338964961644133 0.558760550576504 0.241698924130977 1.0041783209771 0.666666666666667 0.703844000658537 14.530008316 1.38870810584697 4 0.2797632218 -99 1 0
11160592 227.728585187129 17.095826163014 0.0188646322955882 1.70276100265791 136 0 -1 0.022187768871028 0.0629132328055504 0.0450255949465018 0.0561775392712481 0.0342070211978912 0.28684433886127 1.70340689862708 0 0.684648576899265 14.5174999237 2.62456126745965 16.5 0.0620450973999986 -99 1 0
11160858 196.546419031479 17.6575112062382 0.0126379412 1.83133354309241 34 0 -1 0.405740900504666 0.666371306950846 0.5747933549532 0.543300909510292 0.331043439609211 0.151710487183142 1.8918307794494 0 0.698086878841177 14.5578842163 1.53979346713662 99999 0.2687082291 -99 1 0
